"","class","pre"
"YGR282C_mRNA",1,0.815637977928496
"YLR143W_mRNA",1,0.414741274301071
"ENSMUSP00000127969.1",1,0.468079735612759
"ENSOCUP00000021782.2",1,0.98450443546674
"ENSBTAP00000035907.2",1,0.729055073220231
"W02G9.3",1,1.154869267369
"YER003C_mRNA",1,0.65061582160583
"ENSP00000483117.1",1,1.01374351335391
"ENSP00000425147.1",1,0.886936062944926
"ENSELUP00000020572.1",1,-0.323157837665185
"ENSELUP00000023433.1",1,0.91242836822994
"ENSCHIP00000026460.1",1,1.07840458000008
"YDL189W_mRNA",1,0.939106943714319
"ENSCINP00000031674.1",1,0.465076662750885
"ENSP00000367787.3",1,0.912932259941389
"ENSMMUP00000020616.3",1,0.934639438983295
"ENSDARP00000050948.5",1,1.09239647750254
"ENSEBUP00000006455.1",1,0.520619261176929
"ENSTRUP00000057191.1",1,1.07902848870777
"ENSP00000356179.1",1,1.21312412477971
"ENSP00000435873.1",1,1.12518116443951
"ENSECAP00000012978.2",1,1.01839481565413
"F52C12.3",1,0.806171926098935
"ENSGALP00000014689.5",1,1.1783696969118
"ENSMUSP00000102716.1",1,1.07888920455381
"F58G11.2a",1,0.894029083395919
"YML126C_mRNA",1,0.977039065629444
"ENSCPOP00000030274.1",1,1.00787884453934
"ENSEBUP00000000130.1",1,0.921755369757677
"ENSOARP00000021835.1",1,0.892628459458908
"ENSP00000362807.4",1,0.934768761457182
"FBpp0081569",1,1.40316061396388
"YNL177C_mRNA",1,1.12775078041665
"ENSELUP00000010195.1",1,0.797804861788791
"ENSBTAP00000010706.4",1,1.04908851666175
"ENSCINP00000026560.2",1,1.1234515433851
"FBpp0291001",1,1.353465343011
"F54C8.4a",1,1.0729550202199
"ENSMGAP00000019027.1",1,-0.410129030959128
"ENSP00000395591.1",1,0.886319942250014
"ENSORLP00000008519.2",1,0.938659236526742
"ENSRNOP00000014399.4",1,1.03991342961808
"FBpp0305158",1,0.534350083803284
"YNR019W_mRNA",1,1.06379334796449
"ENSP00000449762.1",1,0.84663480968615
"ENSEBUP00000023246.1",1,0.863722241683127
"ENSECAP00000019988.2",1,1.32673016883376
"FBpp0291259",1,0.792740218993048
"YOL059W_mRNA",1,0.559195023647256
"ENSECAP00000003823.2",1,1.3853993611943
"ENSCINP00000018655.3",1,0.951719876930937
"ENSELUP00000011075.1",1,1.05097575581439
"YFR032C_mRNA",1,0.958916007923104
"ZK1290.6",1,1.20901315040424
"ENSMUSP00000045126.7",1,1.09258400492068
"T21C9.12",1,1.05027966433057
"ENSORLP00000002509.2",1,1.08806841249945
"ENSP00000481752.1",1,1.04435313095712
"ENSELUP00000003411.1",1,1.07614530940927
"FBpp0079899",1,1.16165911706406
"ENSONIP00000018299.1",1,1.06440700149694
"FBpp0080906",1,1.03065235851671
"FBpp0077624",1,0.952346617234758
"ENSP00000333199.8",1,0.980776660954772
"YOR165W_mRNA",1,0.918572889382029
"ENSMUSP00000086873.4",1,1.09228704004584
"ENSXETP00000029449.3",1,0.667287721083894
"YDL043C_mRNA",1,1.09202788072948
"ENSP00000258975.6",1,0.869393773746972
"ENSP00000341483.5",1,1.0010675681906
"YDR353W_mRNA",1,0.808775233128239
"ENSGALP00000027063.4",1,0.943909394332406
"YHR179W_mRNA",1,0.442458616985981
"ENSTRUP00000000955.2",1,0.997306688856469
"FBpp0075902",1,0.922462075233115
"ENSELUP00000003086.1",1,1.26501087404623
"ENSBTAP00000004683.6",1,1.20209619291695
"Y57G11C.3a",1,0.984317063860193
"ENSPTRP00000091589.1",1,0.384924049294461
"ENSEBUP00000007367.1",1,1.17917508472633
"ENSEBUP00000016665.1",1,1.14095910024256
"H15N14.1c",1,1.04864985691574
"ENSELUP00000034817.1",1,0.925777850010198
"YLR165C_mRNA",1,0.867144862474942
"YML113W_mRNA",1,1.05722133383928
"YGR276C_mRNA",1,0.792570057031195
"FBpp0072940",1,1.18262100982531
"ENSTRUP00000055661.1",1,1.01735146399955
"ENSOARP00000022183.1",1,0.956498219363483
"ENSDARP00000127323.1",1,0.719427146034255
"ENSMMUP00000002474.3",1,1.01037348341013
"ENSMUSP00000055271.8",1,0.82311604465364
"R10E11.9",1,1.1411616972549
"ENSECAP00000016744.2",1,1.003531403622
"YDR365C_mRNA",1,0.952731043793773
"ENSORLP00000029403.1",1,1.05878391806879
"ENSBTAP00000058871.1",1,0.939863818510667
"YGL068W_mRNA",1,0.921122054859955
"T20B12.7",1,1.01284204154406
"T07D4.4a",1,1.11873798605349
"ENSBTAP00000067611.1",1,1.1254182915716
"YBL057C_mRNA",1,1.21610330116831
"ENSP00000355518.3",1,0.758854634380671
"YMR090W_mRNA",1,0.716100018642602
"ENSP00000444968.1",1,0.956525439421571
"ENSBTAP00000057457.1",1,1.03908563101177
"YGL243W_mRNA",1,0.832561569542044
"ENSECAP00000011666.2",1,1.22243859413478
"ENSECAP00000017270.2",1,0.652091600267001
"ENSEBUP00000004368.1",1,1.02190369346842
"C18A3.1",1,0.587472903446245
"ENSP00000345347.5",1,1.05301438089269
"YDR513W_mRNA",1,1.27096563295948
"ENSDARP00000121489.1",1,0.74477951707497
"Y51H4A.15",1,0.704507385298515
"ENSOANP00000007188.2",1,1.16999048479934
"ENSDARP00000136809.1",1,1.05575219193936
"ENSFCAP00000049045.1",1,1.21830217955809
"ENSOANP00000021272.2",1,1.0072409586635
"F33D4.5",1,1.29568340300222
"YHR189W_mRNA",1,0.697058063134037
"ENSDARP00000035017.7",1,1.12945053073558
"F59A2.3.1",1,1.3584916484075
"ENSGALP00000073581.1",1,0.956032256179711
"C35D10.12",1,1.33375582421984
"FBpp0086687",1,0.987081581835704
"ENSGALP00000007858.6",1,0.793690677895656
"ENSEBUP00000020190.1",1,0.691587838102852
"FBpp0084778",1,0.954575212299877
"ENSONIP00000015825.1",1,1.04625155282809
"ENSRNOP00000074355.1",1,0.492825456299818
"M7.3",1,0.997819258688616
"ENSORLP00000018586.2",1,1.04074056153481
"FBpp0072970",1,1.16468902508748
"FBpp0087562",1,0.762551478424422
"ENSCINP00000016192.3",1,0.80480998264391
"ENSP00000491638.1",1,1.19328278790298
"ENSMUSP00000053514.6",1,0.705086716505242
"ENSP00000418535.2",1,0.482013909992257
"ENSECAP00000015649.2",1,1.19534830316825
"ENSP00000262613.5",1,1.04637283346464
"ENSMUSP00000145308.1",1,1.01300194276472
"ENSORLP00000028326.1",1,1.04621084945477
"Y59A8B.10a.1",1,1.20465336904359
"YEL002C_mRNA",1,0.717059593379963
"ENSBTAP00000005226.4",1,0.880750995914756
"YGL162W_mRNA",1,1.20159960449018
"ENSOARP00000004447.1",1,0.772492619960782
"ENSP00000402829.2",1,0.936536106473645
"ENSMMUP00000060340.1",1,0.460142476292751
"ENSORLP00000034270.1",1,1.29001097103948
"ENSECAP00000016122.2",1,1.08723111523048
"ENSP00000280346.6",1,0.958962027526529
"ENSMUSP00000115890.1",1,0.877638419100276
"YMR178W_mRNA",1,0.133269888125368
"ENSXETP00000024915.2",1,0.752438868548589
"Y37D8A.21",1,1.16339949311087
"T23D8.5",1,-0.628740034556505
"YNL064C_mRNA",1,1.33069465202034
"ENSMUSP00000129739.1",1,1.10442385075232
"ENSMUSP00000044420.3",1,1.26825540408561
"YMR173W_mRNA",1,0.152406167039945
"ENSTRUP00000052119.1",1,0.322203380795162
"ENSFCAP00000027283.2",1,0.768834367468988
"ENSBTAP00000060607.1",1,0.711751722738933
"FBpp0089139",1,1.11936945506039
"ENSP00000342778.4",1,0.593520394637479
"FBpp0293000",1,1.18132794436944
"ENSMMUP00000030178.3",1,0.958648976597959
"R53.2.1",1,0.893743428139829
"FBpp0080929",1,1.14617485514407
"ENSTRUP00000053058.1",1,0.777679409008165
"ENSP00000465369.1",1,1.27999665835673
"ENSEBUP00000014064.1",1,1.20068901958845
"ENSTRUP00000051901.1",1,0.6949896643608
"FBpp0082540",1,0.842847507642771
"ENSMUSP00000128969.1",1,0.803574964367455
"ENSOANP00000018556.1",1,1.03572592737967
"YOR017W_mRNA",1,0.914217186495704
"ENSP00000381225.1",1,1.05932844227506
"ENSP00000422518.1",1,1.03440381748937
"ENSGALP00000052382.2",1,1.06796990720733
"C07E3.2",1,0.901719168320713
"ENSSSCP00000036509.1",1,0.768472361765985
"ENSFCAP00000008066.4",1,0.993508510779508
"ENSSSCP00000010454.3",1,0.968612213176154
"ENSTRUP00000052770.1",1,0.943512417013848
"C54H2.3",1,0.878910822051382
"ZC477.5",1,0.620154525022945
"ENSDARP00000142685.1",1,0.272555505429742
"YGR250C_mRNA",1,0.911450419660876
"F07H5.10",1,0.879295114113807
"ENSONIP00000014347.1",1,0.652034950071562
"ENSTRUP00000055944.1",1,0.782966563707779
"ENSBTAP00000026257.6",1,0.97666061870296
"F23F1.9",1,0.891543083950433
"ENSCINP00000021107.3",1,1.11413310095745
"ENSRNOP00000001791.5",1,0.531979898610506
"ENSMUSP00000070751.5",1,0.923106545865042
"ENSTRUP00000048214.1",1,0.500801161185163
"YHR064C_mRNA",1,1.0646729838905
"ENSORLP00000044905.1",1,1.25612454410194
"ENSEBUP00000015553.1",1,0.660844513655237
"ENSP00000468090.1",1,0.749279968266538
"ENSMUSP00000030201.7",1,0.207638564676601
"YDL202W_mRNA",1,1.06925146939923
"ENSECAP00000008420.2",1,0.949367721535205
"YDR398W_mRNA",1,1.26362735522934
"ENSCINP00000010056.3",1,1.20540438794117
"FBpp0079445",1,1.01125522632877
"ENSEBUP00000026030.1",1,0.518421009526696
"ENSP00000357838.5",1,0.45493624910608
"ENSP00000459029.1",1,0.548920788736843
"C25D7.8.1",1,0.720550432544578
"M88.5c",1,0.910705081109986
"YNL015W_mRNA",1,0.151116865945967
"ENSDARP00000099658.2",1,1.04470753048161
"ENSP00000355586.4",1,1.26510809203328
"YCR046C_mRNA",1,1.04045577796148
"YGL246C_mRNA",1,0.931356249353423
"YDR251W_mRNA",1,0.915958368392527
"ENSMUSP00000090230.6",1,1.02619564035583
"FBpp0074129",1,1.07404907427133
"ENSP00000475900.1",1,0.46439847922329
"ENSSSCP00000038692.1",1,1.04957459927561
"ENSDARP00000089746.3",1,0.633627169245835
"ENSP00000466275.3",1,0.793832942855091
"FBpp0087974",1,0.925231695539073
"FBpp0291095",1,1.11194713455367
"ENSMUSP00000113204.1",1,0.776062179219105
"YNL055C_mRNA",1,0.903803979831708
"ENSP00000488192.1",1,1.02360918157649
"ENSEBUP00000018957.1",1,1.14232931384749
"FBpp0289795",1,0.945477938746774
"ENSEBUP00000019437.1",1,0.865234094943566
"ENSORLP00000014773.1",1,1.1285584071221
"ENSGALP00000066604.1",1,0.696126241328634
"ENSMUSP00000006301.4",1,0.739409533498573
"ENSGALP00000073657.1",1,1.01402118860473
"ENSOARP00000011326.1",1,0.241085059923329
"ENSP00000425460.1",1,1.29970487314453
"ENSP00000366179.3",1,1.27343042061973
"ENSECAP00000025042.1",1,1.26215825689958
"ZK938.7.1",1,1.02542126173325
"ENSEBUP00000014135.1",1,1.14868616067831
"FBpp0084281",1,0.839269487605062
"ENSEBUP00000006720.1",1,1.05872190887416
"Y52B11A.10",1,1.26926542035284
"ENSP00000382150.3",1,1.05253973123451
"ENSP00000381736.5",1,1.60465424271542
"ENSMUSP00000041732.5",1,1.1436470678533
"C49H3.9",1,1.10669970703737
"ENSP00000424735.1",1,0.376780726232754
"ENSORLP00000041158.1",1,1.14915301440613
"ENSECAP00000025580.1",1,0.770076280560401
"FBpp0073597",1,0.905342491945136
