"","class","pre"
"YGR282C_mRNA",1,0.682469133549753
"YLR143W_mRNA",1,0.406041074165882
"ENSMUSP00000127969.1",1,0.148651443044381
"ENSOCUP00000021782.2",1,0.711816786400511
"ENSBTAP00000035907.2",1,0.704544209113902
"W02G9.3",1,1.10865210732835
"YER003C_mRNA",1,0.599642759363505
"ENSP00000483117.1",1,0.977949499547794
"ENSP00000425147.1",1,0.957532923271074
"ENSELUP00000020572.1",1,-0.174178689880042
"ENSELUP00000023433.1",1,0.867935403646604
"ENSCHIP00000026460.1",1,1.0911320833844
"YDL189W_mRNA",1,0.879717644129057
"ENSCINP00000031674.1",1,0.422142528368509
"ENSP00000367787.3",1,1.01085357250932
"ENSMMUP00000020616.3",1,1.14772924013218
"ENSDARP00000050948.5",1,1.04658592190419
"ENSEBUP00000006455.1",1,0.649860109609266
"ENSTRUP00000057191.1",1,0.984902192614721
"ENSP00000356179.1",1,1.16730722909639
"ENSP00000435873.1",1,1.27599659520241
"ENSECAP00000012978.2",1,1.24082553082332
"F52C12.3",1,0.84125678708979
"ENSGALP00000014689.5",1,1.18918583242225
"ENSMUSP00000102716.1",1,1.07391896599522
"F58G11.2a",1,0.885660690151178
"YML126C_mRNA",1,0.955162345634237
"ENSCPOP00000030274.1",1,0.996254490296993
"ENSEBUP00000000130.1",1,1.00139488282517
"ENSOARP00000021835.1",1,0.948547672688722
"ENSP00000362807.4",1,1.10275177252323
"FBpp0081569",1,1.4132192070516
"YNL177C_mRNA",1,1.11350957687406
"ENSELUP00000010195.1",1,0.795299601274024
"ENSBTAP00000010706.4",1,1.01637099633659
"ENSCINP00000026560.2",1,1.08794201741129
"FBpp0291001",1,1.34867966358821
"F54C8.4a",1,0.960697413325439
"ENSMGAP00000019027.1",1,-0.402474386830289
"ENSP00000395591.1",1,1.00730756601286
"ENSORLP00000008519.2",1,0.87489047020671
"ENSRNOP00000014399.4",1,1.04242392276657
"FBpp0305158",1,0.501271715446085
"YNR019W_mRNA",1,1.20060130402111
"ENSP00000449762.1",1,0.936071538922359
"ENSEBUP00000023246.1",1,0.787051825606642
"ENSECAP00000019988.2",1,1.2821562985622
"FBpp0291259",1,0.73882469343437
"YOL059W_mRNA",1,0.559685531717981
"ENSECAP00000003823.2",1,1.29218167146238
"ENSCINP00000018655.3",1,1.04378101453882
"ENSELUP00000011075.1",1,1.03125856667437
"YFR032C_mRNA",1,0.988925837903202
"ZK1290.6",1,1.09528207962457
"ENSMUSP00000045126.7",1,1.09026504484063
"T21C9.12",1,1.17487045634283
"ENSORLP00000002509.2",1,1.31143335127755
"ENSP00000481752.1",1,1.09345815906762
"ENSELUP00000003411.1",1,1.07080114491849
"FBpp0079899",1,1.16778437323672
"ENSONIP00000018299.1",1,1.1914265394695
