"","class","pre"
"YGR282C_mRNA",1,0.660387472831099
"YLR143W_mRNA",1,0.779636959989821
"ENSMUSP00000127969.1",1,0.869037166505054
"ENSOCUP00000021782.2",1,1.18710539170697
"ENSBTAP00000035907.2",1,0.758412426686824
"W02G9.3",1,1.0777929047216
"YER003C_mRNA",1,0.777679801191491
"ENSP00000483117.1",1,1.09134775845548
"ENSP00000425147.1",1,0.980102987303426
"ENSELUP00000020572.1",1,-0.226802787485652
"ENSELUP00000023433.1",1,1.04697554556198
"ENSCHIP00000026460.1",1,1.05547279019435
"YDL189W_mRNA",1,0.949111928530949
"ENSCINP00000031674.1",1,0.684385385394816
"ENSP00000367787.3",1,1.01457858959798
"ENSMMUP00000020616.3",1,1.19230851258676
"ENSDARP00000050948.5",1,0.957088204684078
"ENSEBUP00000006455.1",1,0.553127266262988
"ENSTRUP00000057191.1",1,0.99493068244788
"ENSP00000356179.1",1,1.16399677745318
"ENSP00000435873.1",1,0.992841702884109
"ENSECAP00000012978.2",1,1.08037085768107
"F52C12.3",1,0.973530653133709
"ENSGALP00000014689.5",1,1.12535161864574
"ENSMUSP00000102716.1",1,0.981583536363581
"F58G11.2a",1,0.989607089831084
"YML126C_mRNA",1,1.00829734575283
"ENSCPOP00000030274.1",1,1.10036601467937
"ENSEBUP00000000130.1",1,0.957994494388244
"ENSOARP00000021835.1",1,0.944552171084664
"ENSP00000362807.4",1,0.937314510511278
"FBpp0081569",1,1.10769300960883
"YNL177C_mRNA",1,1.19050407524588
"ENSELUP00000010195.1",1,0.972199436182403
"ENSBTAP00000010706.4",1,1.15264548947996
"ENSCINP00000026560.2",1,1.09515671994825
"FBpp0291001",1,1.13279247337339
"F54C8.4a",1,1.15059917089007
"ENSMGAP00000019027.1",1,0.33222597029026
"ENSP00000395591.1",1,0.644445561933716
"ENSORLP00000008519.2",1,0.988868510865192
"ENSRNOP00000014399.4",1,1.17895675401674
"FBpp0305158",1,0.785693080004197
"YNR019W_mRNA",1,0.886756708064315
"ENSP00000449762.1",1,0.893825754282736
"ENSEBUP00000023246.1",1,1.05537805836937
"ENSECAP00000019988.2",1,1.2219870641504
"FBpp0291259",1,0.9635153258577
"YOL059W_mRNA",1,0.990744091740945
"ENSECAP00000003823.2",1,1.15223237849145
"ENSCINP00000018655.3",1,0.901555495914292
"ENSELUP00000011075.1",1,1.10784844527372
"YFR032C_mRNA",1,1.04364872136515
"ZK1290.6",1,1.2393691153127
"ENSMUSP00000045126.7",1,1.03668804441912
"T21C9.12",1,0.89882163541525
"ENSORLP00000002509.2",1,1.09501701428197
"ENSP00000481752.1",1,0.986754050505404
"ENSELUP00000003411.1",1,1.08882711362173
"FBpp0079899",1,0.981441749040979
"ENSONIP00000018299.1",1,0.932319139971367
"FBpp0080906",1,1.04203651343694
"FBpp0077624",1,1.17545433923792
"ENSP00000333199.8",1,1.00561540444857
"YOR165W_mRNA",1,0.888874907887849
"ENSMUSP00000086873.4",1,0.912694792343926
"ENSXETP00000029449.3",1,0.529366743061723
"YDL043C_mRNA",1,0.966401503349963
"ENSP00000258975.6",1,0.741975094739755
"ENSP00000341483.5",1,0.981296900546071
"YDR353W_mRNA",1,0.239114321228389
"ENSGALP00000027063.4",1,1.10377293529211
"YHR179W_mRNA",1,1.00106424845102
"ENSTRUP00000000955.2",1,1.04665529718949
"FBpp0075902",1,0.917983073555364
"ENSELUP00000003086.1",1,1.19983988558459
"ENSBTAP00000004683.6",1,1.1678375124596
"Y57G11C.3a",1,0.792961192106163
